IC,ICw,DC,DCw,BTB,BHT,RAS,SoC_Total_LUT,Uncore_LUT,S1_Fetch_LUT,S2_Decode_LUT,S3_Issue_Net_LUT,S4_Execute_Net_LUT,S5_Memory_Total_LUT,S6_Commit_LUT,Sum_Stages_LUT,Remainder_LUT,SoC_Total_FF,Uncore_FF,S1_Fetch_FF,S2_Decode_FF,S3_Issue_Net_FF,S4_Execute_Net_FF,S5_Memory_Total_FF,S6_Commit_FF,Sum_Stages_FF,Remainder_FF,SoC_Total_BRAM,Uncore_BRAM,S1_Fetch_BRAM,S2_Decode_BRAM,S3_Issue_Net_BRAM,S4_Execute_Net_BRAM,S5_Memory_Total_BRAM,S6_Commit_BRAM,Sum_Stages_BRAM,Remainder_BRAM,SoC_Total_DSP,Uncore_DSP,S1_Fetch_DSP,S2_Decode_DSP,S3_Issue_Net_DSP,S4_Execute_Net_DSP,S5_Memory_Total_DSP,S6_Commit_DSP,Sum_Stages_DSP,Remainder_DSP
4k,4w,4k,4w,8192,16,2,47612,5161,2694,673,11246,10485,12054,2781,39933,2518,22189,4921,715,370,3353,2368,5514,2863,15183,2085,42,4,26,0,0,0,12,0,38,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,8,16,2,47690,5154,2781,673,11234,10494,12051,2784,40017,2519,22319,4921,845,370,3353,2368,5514,2863,15313,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,4w,512,4w,16,16,2,48400,5159,2783,672,11224,10489,12767,2778,40713,2528,23022,4921,845,370,3353,2368,6220,2863,16019,2082,16,4,12,0,0,0,12,0,24,-12,27,0,0,0,0,27,0,0,27,0
4k,4w,64k,4w,16,16,2,47743,5161,2783,672,11237,10486,12104,2782,40064,2518,22331,4921,845,370,3353,2368,5522,2863,15321,2089,40,4,12,0,0,0,24,0,36,0,27,0,0,0,0,27,0,0,27,0
4k,4w,8k,4w,16,16,2,47705,5163,2784,673,11233,10487,12063,2785,40025,2517,22325,4921,845,370,3356,2368,5516,2865,15320,2084,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
4k,8w,4k,8w,16,16,2,48535,5149,3084,674,11236,10493,12449,2791,40727,2659,22370,4921,851,370,3356,2368,5557,2865,15367,2082,52,4,24,0,0,0,24,0,48,0,27,0,0,0,0,27,0,0,27,0
4k,4w,4k,4w,512,16,2,47594,5155,2693,673,11235,10489,12048,2781,39919,2520,22190,4921,715,370,3353,2368,5514,2863,15183,2086,30,4,14,0,0,0,12,0,26,0,27,0,0,0,0,27,0,0,27,0
8k,4w,8k,4w,16,16,2,47687,5154,2779,671,11228,10487,12062,2781,40008,2525,22322,4921,845,370,3353,2368,5516,2863,15315,2086,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
8k,4w,4k,4w,16,16,2,47665,5158,2776,673,11232,10484,12048,2782,39995,2512,22320,4921,845,370,3354,2368,5514,2864,15315,2084,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
16k,4w,4k,4w,16,16,2,47687,5154,2777,673,11229,10489,12063,2783,40014,2519,22321,4921,845,370,3355,2368,5514,2865,15317,2083,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
16k,4w,16k,4w,16,16,2,47730,5155,2779,673,11232,10486,12110,2781,40061,2514,22327,4921,845,370,3355,2368,5518,2865,15321,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
32k,4w,32k,4w,16,16,2,47736,5163,2789,672,11233,10484,12082,2781,40041,2532,22328,4921,845,370,3353,2368,5520,2863,15319,2088,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
32k,4w,4k,4w,16,16,2,47683,5160,2790,673,11226,10485,12054,2780,40008,2515,22319,4921,845,370,3353,2368,5514,2863,15313,2085,28,4,12,0,0,0,12,0,24,0,27,0,0,0,0,27,0,0,27,0
64k,4w,64k,4w,16,16,2,47772,5158,2826,672,11234,10482,12098,2785,40097,2517,22331,4921,845,370,3353,2368,5522,2863,15321,2089,52,4,24,0,0,0,24,0,48,0,27,0,0,0,0,27,0,0,27,0
64k,4w,4k,4w,16,16,2,47724,5160,2824,671,11231,10488,12052,2783,40049,2515,22321,4921,845,370,3355,2368,5514,2865,15317,2083,40,4,24,0,0,0,12,0,36,0,27,0,0,0,0,27,0,0,27,0
128k,4w,4k,4w,16,16,2,47873,5159,2971,673,11235,10488,12052,2787,40206,2508,22321,4921,845,370,3355,2368,5514,2865,15317,2083,60,4,44,0,0,0,12,0,56,0,27,0,0,0,0,27,0,0,27,0
128k,4w,128k,4w,16,16,2,47952,5159,2974,672,11234,10488,12087,2785,40240,2553,22334,4921,845,370,3353,2368,5524,2863,15323,2090,92,4,44,0,0,0,44,0,88,0,27,0,0,0,0,27,0,0,27,0
256k,4w,4k,4w,16,16,2,48276,5161,3395,673,11221,10487,12036,2780,40592,2523,22320,4921,845,370,3354,2368,5514,2864,15315,2084,104,4,88,0,0,0,12,0,100,0,27,0,0,0,0,27,0,0,27,0
