config,suite,name,score,units,instructions,cycles,ipc
BTB16384,UnixBench,Pipe_Throughput,8959,lps,35124761,247556628,0.1419
BTB16384,UnixBench,Context_Switching,934,lps,15160259,128434457,0.1180
BTB2048,NPB,EP,0.12,Mop/s,2091260471,7025354484,0.2977
BTB2048,NPB,IS,0.46,Mop/s,7556405,35094890,0.2153
BTB2048,NPB,CG,0.78,Mop/s,355525964,2109546826,0.1685
BTB2048,NPB,MG,1.07,Mop/s,33940446,175773391,0.1931
BTB2048,NPB,FT,1.20,Mop/s,586252292,3659399650,0.1602
BTB2048,NPB,BT,2.16,Mop/s,549310005,2611780394,0.2103
BTB2048,NPB,SP,1.23,Mop/s,356795458,1951236797,0.1829
BTB2048,NPB,LU,2.92,Mop/s,200161937,865227226,0.2313
BTB2048,UnixBench,Arithmetic_Overhead,22670900,lps,96440537,247378345,0.3899
BTB2048,UnixBench,Arithmetic_Register,660650,lps,141200480,247469243,0.5706
BTB2048,UnixBench,Arithmetic_Short,660845,lps,141227355,247735157,0.5701
BTB2048,UnixBench,Arithmetic_Int,659777,lps,141024964,247301760,0.5703
BTB2048,UnixBench,Dhrystone,260408,lps,81555436,181562319,0.4492
BTB2048,UnixBench,Arithmetic_Double,659654,lps,140992458,247302756,0.5701
BTB2048,UnixBench,Whetstone,19.564,MWIPS,103454764,250909302,0.4123
BTB2048,UnixBench,Syscall_Mix,21910,lps,42052281,247266254,0.1701
BTB2048,UnixBench,Syscall_GetPID,202252,lps,54892248,245286776,0.2238
BTB2048,UnixBench,Syscall_Exec,20,lps,2546808,21240595,0.1199
BTB2048,UnixBench,Pipe_Throughput,8969,lps,35184527,247400123,0.1422
BTB2048,UnixBench,Context_Switching,927,lps,14915518,126784054,0.1176
BTB4096,NPB,EP,0.12,Mop/s,2090998796,7018215018,0.2979
BTB4096,NPB,IS,0.45,Mop/s,7582796,35590390,0.2131
BTB4096,NPB,CG,0.78,Mop/s,355696810,2117753067,0.1680
BTB4096,NPB,MG,1.07,Mop/s,33899434,175247335,0.1934
BTB4096,NPB,FT,1.20,Mop/s,586342387,3663246973,0.1601
BTB4096,NPB,BT,2.16,Mop/s,549307677,2613818210,0.2102
BTB4096,NPB,SP,1.22,Mop/s,357139090,1966483201,0.1816
BTB4096,NPB,LU,2.91,Mop/s,200217062,867731183,0.2307
BTB4096,UnixBench,Arithmetic_Overhead,22664279,lps,96416861,247383374,0.3897
BTB4096,UnixBench,Arithmetic_Register,660022,lps,141054781,247537309,0.5698
BTB4096,UnixBench,Arithmetic_Short,660101,lps,141067231,247540092,0.5699
BTB4096,UnixBench,Arithmetic_Int,659805,lps,141007487,247522980,0.5697
BTB4096,UnixBench,Dhrystone,259137,lps,81193418,181209642,0.4481
BTB4096,UnixBench,Arithmetic_Double,660162,lps,141076519,247496121,0.5700
BTB4096,UnixBench,Whetstone,19.498,MWIPS,103488800,251329091,0.4118
BTB4096,UnixBench,Syscall_Mix,22441,lps,42909145,247486216,0.1734
BTB4096,UnixBench,Syscall_GetPID,191523,lps,52314863,244978638,0.2135
BTB4096,UnixBench,Syscall_Exec,20,lps,2623799,21898231,0.1198
BTB4096,UnixBench,Pipe_Throughput,8882,lps,34887752,247559999,0.1409
BTB4096,UnixBench,Context_Switching,907,lps,14051458,119875695,0.1172
BTB8192,NPB,EP,0.12,Mop/s,2090913618,7013524238,0.2981
BTB8192,NPB,IS,0.46,Mop/s,7542796,34909778,0.2161
BTB8192,NPB,CG,0.78,Mop/s,355425483,2105882408,0.1688
BTB8192,NPB,MG,1.08,Mop/s,33883009,174141361,0.1946
BTB8192,NPB,FT,1.20,Mop/s,586031227,3651059402,0.1605
BTB8192,NPB,BT,2.17,Mop/s,549162465,2606524312,0.2107
BTB8192,NPB,SP,1.22,Mop/s,356881676,1954882798,0.1826
BTB8192,NPB,LU,2.92,Mop/s,200175014,864872306,0.2315
BTB8192,UnixBench,Arithmetic_Overhead,22676406,lps,96456774,247413357,0.3899
BTB8192,UnixBench,Arithmetic_Register,659816,lps,141024005,247430652,0.5700
BTB8192,UnixBench,Arithmetic_Short,661190,lps,141290220,247534754,0.5708
BTB8192,UnixBench,Arithmetic_Int,660936,lps,141249735,247672564,0.5703
BTB8192,UnixBench,Dhrystone,261570,lps,81925235,182306099,0.4494
BTB8192,UnixBench,Arithmetic_Double,660858,lps,141218987,247491220,0.5706
BTB8192,UnixBench,Whetstone,19.518,MWIPS,103485359,251012569,0.4123
BTB8192,UnixBench,Syscall_Mix,22202,lps,42528311,247354459,0.1719
BTB8192,UnixBench,Syscall_GetPID,209064,lps,56574695,244930150,0.2310
BTB8192,UnixBench,Syscall_Exec,20,lps,2628511,21823825,0.1204
BTB8192,UnixBench,Pipe_Throughput,9030,lps,35359268,247514109,0.1429
BTB8192,UnixBench,Context_Switching,937,lps,14606770,123683112,0.1181
