config,suite,name,score,units,instructions,cycles,ipc
BHT8192,UnixBench,Arithmetic_Overhead,22977240,lps,97643464,247950337,0.3938
BHT8192,UnixBench,Arithmetic_Register,669301,lps,142943167,247917191,0.5766
BHT8192,UnixBench,Arithmetic_Short,668669,lps,142817574,247880952,0.5762
BHT8192,UnixBench,Arithmetic_Int,669125,lps,142898962,247852267,0.5765
BHT8192,UnixBench,Dhrystone,272290,lps,85212383,187119230,0.4554
BHT8192,UnixBench,Arithmetic_Double,668933,lps,142866241,247794646,0.5766
BHT8192,UnixBench,Whetstone,21.299,MWIPS,113824605,255385585,0.4457
BHT8192,UnixBench,Syscall_Mix,24384,lps,46125432,247575140,0.1863
BHT8192,UnixBench,Syscall_GetPID,206673,lps,55909107,246384637,0.2269
BHT8192,UnixBench,Syscall_Exec,21,lps,2523619,20083607,0.1257
BHT8192,UnixBench,Pipe_Throughput,9981,lps,38392501,247898577,0.1549
BHT8192,UnixBench,Context_Switching,994,lps,14729211,117755071,0.1251
