config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC16w_DC16w,4k,4k,NPB,EP,0.12,Mop/s,2091792290,7039936354,0.2971
IC16w_DC16w,4k,4k,NPB,IS,0,-,0,0,0
IC16w_DC16w,4k,4k,NPB,CG,0.78,Mop/s,355533903,2106408159,0.1688
IC16w_DC16w,4k,4k,NPB,MG,1.07,Mop/s,33937685,175080780,0.1938
IC16w_DC16w,4k,4k,NPB,FT,1.22,Mop/s,585168912,3606764114,0.1622
IC16w_DC16w,4k,4k,NPB,BT,2.14,Mop/s,549930041,2636271794,0.2086
IC16w_DC16w,4k,4k,NPB,SP,1.23,Mop/s,356789353,1947619242,0.1832
IC16w_DC16w,4k,4k,NPB,LU,2.93,Mop/s,200131585,861928753,0.2322
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Overhead,22590388,lps,96129003,247326516,0.3887
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Register,657799,lps,140621175,247340506,0.5685
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Short,659161,lps,140875704,247502959,0.5692
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Int,658918,lps,140832757,247477875,0.5691
IC16w_DC16w,4k,4k,UnixBench,Dhrystone,259582,lps,81302454,181363622,0.4483
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Double,658258,lps,140697105,247353361,0.5688
IC16w_DC16w,4k,4k,UnixBench,Whetstone,19.462,MWIPS,103508628,251894688,0.4109
IC16w_DC16w,4k,4k,UnixBench,Syscall_Mix,23645,lps,44952513,246939279,0.1820
IC16w_DC16w,4k,4k,UnixBench,Syscall_GetPID,188625,lps,51590662,245207574,0.2104
IC16w_DC16w,4k,4k,UnixBench,Syscall_Exec,20,lps,2504817,21066399,0.1189
IC16w_DC16w,4k,4k,UnixBench,Pipe_Throughput,8709,lps,34316615,247587270,0.1386
IC16w_DC16w,4k,4k,UnixBench,Context_Switching,817,lps,13918688,119097066,0.1169
IC1w_DC1w,4k,4k,NPB,EP,0.08,Mop/s,2158960355,9870773980,0.2187
IC1w_DC1w,4k,4k,NPB,IS,0.36,Mop/s,7783649,45158912,0.1724
IC1w_DC1w,4k,4k,NPB,CG,0.40,Mop/s,401172171,4047108979,0.0991
IC1w_DC1w,4k,4k,NPB,MG,0.49,Mop/s,38771088,379783019,0.1021
IC1w_DC1w,4k,4k,NPB,FT,0.95,Mop/s,608183498,4571560983,0.1330
IC1w_DC1w,4k,4k,NPB,BT,1.38,Mop/s,583466732,4057075044,0.1438
IC1w_DC1w,4k,4k,NPB,SP,0.55,Mop/s,411454096,4275008866,0.0962
IC1w_DC1w,4k,4k,NPB,LU,1.81,Mop/s,212480233,1384949365,0.1534
IC1w_DC1w,4k,4k,UnixBench,Arithmetic_Overhead,20285731,lps,86921913,245162845,0.3545
IC1w_DC1w,4k,4k,UnixBench,Arithmetic_Register,591346,lps,126978826,245490320,0.5172
IC1w_DC1w,4k,4k,UnixBench,Arithmetic_Short,591740,lps,127065544,245305415,0.5180
