config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BHT256,4k,4k,UnixBench,Pipe_Throughput,9566,lps,37097102,247385036,0.1500
BHT256,4k,4k,UnixBench,Context_Switching,931,lps,14889428,125683558,0.1185
BHT32,4k,4k,NPB,EP,0.12,Mop/s,2086059406,6798047493,0.3069
BHT32,4k,4k,NPB,IS,0.46,Mop/s,7563962,35465522,0.2133
BHT32,4k,4k,NPB,CG,0.78,Mop/s,355932712,2124385694,0.1675
BHT32,4k,4k,NPB,MG,1.07,Mop/s,33942726,175997556,0.1929
BHT32,4k,4k,NPB,FT,1.19,Mop/s,586536931,3672990260,0.1597
BHT32,4k,4k,NPB,BT,2.16,Mop/s,549511357,2619790002,0.2098
BHT32,4k,4k,NPB,SP,1.22,Mop/s,357238162,1966418981,0.1817
BHT32,4k,4k,NPB,LU,2.91,Mop/s,200344757,870320814,0.2302
BHT32,4k,4k,UnixBench,Arithmetic_Overhead,22730040,lps,96641753,247805347,0.3900
BHT32,4k,4k,UnixBench,Arithmetic_Register,658293,lps,140713852,247476746,0.5686
BHT32,4k,4k,UnixBench,Arithmetic_Short,659294,lps,140917191,247447528,0.5695
BHT32,4k,4k,UnixBench,Arithmetic_Int,658139,lps,140680758,247422082,0.5686
BHT32,4k,4k,UnixBench,Dhrystone,261118,lps,81794505,182327430,0.4486
BHT32,4k,4k,UnixBench,Arithmetic_Double,658939,lps,140836227,247493494,0.5691
BHT32,4k,4k,UnixBench,Whetstone,19.623,MWIPS,103460141,249804684,0.4142
BHT32,4k,4k,UnixBench,Syscall_Mix,22891,lps,43668237,247420681,0.1765
BHT32,4k,4k,UnixBench,Syscall_GetPID,217722,lps,58715257,244760875,0.2399
BHT32,4k,4k,UnixBench,Syscall_Exec,20,lps,2705389,22688534,0.1192
BHT32,4k,4k,UnixBench,Pipe_Throughput,8954,lps,35110293,247612758,0.1418
BHT32,4k,4k,UnixBench,Context_Switching,831,lps,13794354,118329848,0.1166
BHT4096,4k,4k,NPB,EP,0.12,Mop/s,2082828484,6672726011,0.3121
BHT4096,4k,4k,NPB,IS,0.47,Mop/s,7531208,34510233,0.2182
BHT4096,4k,4k,NPB,CG,0.80,Mop/s,354495346,2072402936,0.1711
BHT4096,4k,4k,NPB,MG,1.08,Mop/s,33909360,174674810,0.1941
BHT4096,4k,4k,NPB,FT,1.22,Mop/s,584659202,3604992095,0.1622
BHT4096,4k,4k,NPB,BT,2.20,Mop/s,548193063,2574712505,0.2129
BHT4096,4k,4k,NPB,SP,1.25,Mop/s,355754366,1913576368,0.1859
BHT4096,4k,4k,NPB,LU,2.95,Mop/s,199967214,857546567,0.2332
BHT4096,4k,4k,UnixBench,Arithmetic_Overhead,22968070,lps,97611411,247824194,0.3939
BHT4096,4k,4k,UnixBench,Arithmetic_Register,668839,lps,142860065,247719656,0.5767
BHT4096,4k,4k,UnixBench,Arithmetic_Short,669755,lps,143019775,247954399,0.5768
BHT4096,4k,4k,UnixBench,Arithmetic_Int,670199,lps,143123104,247998756,0.5771
BHT4096,4k,4k,UnixBench,Dhrystone,269333,lps,84286751,185056491,0.4555
BHT4096,4k,4k,UnixBench,Arithmetic_Double,669422,lps,142967466,247813208,0.5769
BHT4096,4k,4k,UnixBench,Whetstone,21.299,MWIPS,113825104,255401131,0.4457
BHT4096,4k,4k,UnixBench,Syscall_Mix,24853,lps,46902721,247600292,0.1894
BHT4096,4k,4k,UnixBench,Syscall_GetPID,195745,lps,53280262,245198461,0.2173
BHT4096,4k,4k,UnixBench,Syscall_Exec,21,lps,2678320,21370610,0.1253
BHT4096,4k,4k,UnixBench,Pipe_Throughput,10047,lps,38605468,247840297,0.1558
BHT4096,4k,4k,UnixBench,Context_Switching,1003,lps,14519170,116635108,0.1245
BHT512,4k,4k,NPB,EP,0.12,Mop/s,2083004709,6692686196,0.3112
BHT512,4k,4k,NPB,IS,0.46,Mop/s,7542899,35015597,0.2154
BHT512,4k,4k,NPB,CG,0.79,Mop/s,354973444,2091022458,0.1698
BHT512,4k,4k,NPB,MG,1.09,Mop/s,33860684,173044537,0.1957
BHT512,4k,4k,NPB,FT,1.21,Mop/s,585347472,3631465212,0.1612
BHT512,4k,4k,NPB,BT,2.18,Mop/s,548589739,2589676987,0.2118
BHT512,4k,4k,NPB,SP,1.24,Mop/s,356292912,1934660693,0.1842
BHT512,4k,4k,NPB,LU,2.94,Mop/s,199993106,859488490,0.2327
BHT512,4k,4k,UnixBench,Arithmetic_Overhead,22904062,lps,97354833,247675265,0.3931
BHT512,4k,4k,UnixBench,Arithmetic_Register,666388,lps,142362334,247766804,0.5746
BHT512,4k,4k,UnixBench,Arithmetic_Short,665046,lps,142083360,247488490,0.5741
BHT512,4k,4k,UnixBench,Arithmetic_Int,665209,lps,142124105,247453512,0.5743
BHT512,4k,4k,UnixBench,Dhrystone,265808,lps,83205362,183564420,0.4533
BHT512,4k,4k,UnixBench,Arithmetic_Double,666101,lps,142290510,247673512,0.5745
BHT512,4k,4k,UnixBench,Whetstone,21.136,MWIPS,113902053,257011985,0.4432
BHT512,4k,4k,UnixBench,Syscall_Mix,24268,lps,45977917,247049071,0.1861
BHT512,4k,4k,UnixBench,Syscall_GetPID,187535,lps,51316733,245489970,0.2090
BHT512,4k,4k,UnixBench,Syscall_Exec,21,lps,2699388,22323325,0.1209
BHT512,4k,4k,UnixBench,Pipe_Throughput,9881,lps,38093804,247605312,0.1538
BHT512,4k,4k,UnixBench,Context_Switching,956,lps,14768863,124297017,0.1188
